,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other
305,0.1002,0.0012,0.006,0.0097,0.0002,0.8694,0.8237
306,0.2945,0.0031,0.0153,0.0114,0.0009,0.6559999999999999,0.5938
307,0.2342,0.0056,0.0,0.0047,0.0,0.7471,0.6945
308,0.19699999999999998,0.0012,0.0528,0.1062,0.0004,0.6174,0.4214000000000001
309,0.1803,0.0017,0.0532,0.1294,0.0002,0.6106,0.3872000000000001
310,0.0628,0.0023,0.0189,0.0148,0.0,0.8842,0.6462000000000001
311,0.0619,0.0008,0.0304,0.0494,0.0,0.8390000000000001,0.5525
312,0.1811,0.001,0.04,0.1249,0.0001,0.6289,0.39390000000000003
313,0.1055,0.0054,0.0409,0.0519,0.0003,0.7566,0.5129999999999999
314,0.0552,0.0005,0.0487,0.0293,0.0,0.8461,0.6463
315,0.11800000000000001,0.0009,0.0137,0.0176,0.0002,0.8270000000000001,0.6275999999999999
316,0.0707,0.0052,0.0199,0.251,0.0005,0.6159,0.4857
317,0.0994,0.0022,0.0547,0.2455,0.0003,0.5744,0.41890000000000005
318,0.0917,0.0032,0.0122,0.1181,0.0003,0.7496,0.5195000000000001
319,0.11,0.002,0.0393,0.4544,0.0004,0.3658,0.2389
320,0.0989,0.0032,0.0606,0.1983,0.0006,0.6105,0.3974
321,0.0256,0.0051,0.0061,0.1332,0.0004,0.8108,0.7076
322,0.0649,0.0028,0.0232,0.1083,0.001,0.7612,0.6217999999999999
323,0.0416,0.0036,0.0061,0.2016,0.0,0.7354,0.6151
324,0.1029,0.0027,0.0233,0.0928,0.0009,0.7444,0.5904
325,0.2981,0.0017,0.0351,0.2757,0.0005,0.3628,0.2059000000000002
326,0.0575,0.0107,0.0011,0.1299,0.0,0.7715,0.6408
327,0.0728,0.0028,0.0129,0.0535,0.0007,0.8391,0.6223000000000001
328,0.0569,0.0023,0.0171,0.027999999999999997,0.0003,0.88,0.6683999999999999
329,0.0993,0.0011,0.0276,0.1028,0.0005,0.7274,0.6067
330,0.2792,0.0017,0.0129,0.0668,0.0,0.6283,0.38839999999999997
331,0.063,0.0021,0.0106,0.1779,0.0,0.7227,0.5844
332,0.3157,0.0008,0.0022,0.1251,0.0011,0.5476,0.43810000000000004
333,0.0406,0.0001,0.0023,0.0876,0.0004,0.8408,0.732
