,Patients,Hospitalized,ICU,Death
13021,4084.0,59.0,0.0,12.0
13023,0.0,0.0,0.0,0.0
13025,0.0,0.0,0.0,0.0
13027,0.0,0.0,0.0,0.0
13029,874.0,12.0,0.0,0.0
13031,2283.0,5.0,0.0,0.0
13033,365.0,0.0,0.0,0.0
13035,463.0,6.0,0.0,0.0
13037,0.0,0.0,0.0,0.0
13039,1228.0,1.0,0.0,0.0
13043,0.0,0.0,0.0,0.0
13045,2593.0,7.0,0.0,0.0
13047,1290.0,1.0,0.0,0.0
13049,0.0,0.0,0.0,0.0
13051,5736.0,51.0,0.0,13.0
13053,0.0,0.0,0.0,0.0
13055,778.0,0.0,0.0,0.0
13057,5679.0,70.0,0.0,0.0
13059,4124.0,9.0,0.0,0.0
13061,0.0,0.0,0.0,0.0
13063,5512.0,15.0,0.0,0.0
13065,0.0,0.0,0.0,0.0
13067,15481.0,46.0,2.0,0.0
13069,1730.0,57.0,0.0,13.0
13071,1744.0,9.0,0.0,0.0
13073,2767.0,14.0,0.0,0.0
13075,0.0,0.0,0.0,0.0
13077,1787.0,4.0,0.0,0.0
13079,0.0,0.0,0.0,0.0
13081,541.0,4.0,0.0,0.0
13083,0.0,0.0,0.0,0.0
13085,258.0,3.0,0.0,0.0
13087,877.0,7.0,0.0,0.0
13089,13537.0,101.0,1.0,0.0
13091,594.0,6.0,0.0,0.0
13093,0.0,0.0,0.0,0.0
13095,1737.0,60.0,0.0,0.0
13097,2617.0,26.0,0.0,0.0
13099,0.0,0.0,0.0,0.0
13101,0.0,0.0,0.0,0.0
13103,1335.0,18.0,0.0,0.0
13105,0.0,0.0,0.0,0.0
13107,0.0,0.0,0.0,0.0
13109,0.0,0.0,0.0,0.0
13111,643.0,8.0,0.0,0.0
13113,1400.0,5.0,1.0,0.0
13115,3038.0,0.0,0.0,0.0
13117,2531.0,46.0,0.0,0.0
13119,497.0,8.0,0.0,0.0
13121,21022.0,91.0,1.0,14.0
13123,940.0,4.0,0.0,0.0
13125,0.0,0.0,0.0,0.0
13127,2513.0,3.0,0.0,0.0
13129,2041.0,2.0,1.0,0.0
13131,551.0,14.0,0.0,0.0
13133,0.0,0.0,0.0,0.0
13135,19140.0,193.0,0.0,0.0
13137,764.0,13.0,0.0,0.0
13139,3869.0,38.0,0.0,0.0
13141,0.0,0.0,0.0,0.0
13143,512.0,0.0,0.0,0.0
13145,502.0,4.0,0.0,0.0
13147,322.0,1.0,0.0,0.0
13149,0.0,0.0,0.0,0.0
13151,4141.0,5.0,0.0,0.0
13153,3514.0,7.0,0.0,0.0
13155,0.0,0.0,0.0,0.0
13157,1342.0,10.0,0.0,0.0
13159,0.0,0.0,0.0,0.0
13161,0.0,0.0,0.0,0.0
13163,0.0,0.0,0.0,0.0
13165,0.0,0.0,0.0,0.0
13167,0.0,0.0,0.0,0.0
13169,450.0,0.0,0.0,0.0
13171,0.0,0.0,0.0,0.0
13173,0.0,0.0,0.0,0.0
13175,1724.0,4.0,0.0,0.0
13177,461.0,9.0,0.0,0.0
13179,805.0,6.0,0.0,0.0
13181,0.0,0.0,0.0,0.0
13183,0.0,0.0,0.0,0.0
13185,2991.0,29.0,0.0,0.0
13187,0.0,0.0,0.0,0.0
13189,308.0,1.0,0.0,0.0
13191,0.0,0.0,0.0,0.0
13193,0.0,0.0,0.0,0.0
13195,652.0,4.0,0.0,0.0
13197,0.0,0.0,0.0,0.0
13199,239.0,5.0,0.0,0.0
13201,0.0,0.0,0.0,0.0
13205,477.0,10.0,0.0,0.0
13207,530.0,4.0,0.0,0.0
13209,0.0,0.0,0.0,0.0
13211,0.0,0.0,0.0,0.0
13213,984.0,2.0,0.0,0.0
13215,3851.0,18.0,0.0,11.0
13217,1962.0,8.0,0.0,0.0
13219,696.0,3.0,0.0,0.0
13221,0.0,0.0,0.0,0.0
13223,2364.0,3.0,0.0,0.0
13225,613.0,4.0,0.0,0.0
13227,688.0,6.0,0.0,0.0
13229,0.0,0.0,0.0,0.0
13231,0.0,0.0,0.0,0.0
13233,1384.0,0.0,0.0,0.0
13235,0.0,0.0,0.0,0.0
13237,571.0,2.0,0.0,0.0
13239,0.0,0.0,0.0,0.0
13241,0.0,0.0,0.0,0.0
13243,0.0,0.0,0.0,0.0
13245,5134.0,18.0,0.0,0.0
13247,1579.0,6.0,0.0,0.0
13249,0.0,0.0,0.0,0.0
13251,0.0,0.0,0.0,0.0
13253,0.0,0.0,0.0,0.0
13255,1092.0,24.0,0.0,0.0
13257,0.0,0.0,0.0,0.0
13259,0.0,0.0,0.0,0.0
13261,435.0,6.0,0.0,0.0
13263,0.0,0.0,0.0,0.0
13265,0.0,0.0,0.0,0.0
13267,656.0,7.0,0.0,0.0
13269,0.0,0.0,0.0,0.0
13271,0.0,0.0,0.0,0.0
13273,0.0,0.0,0.0,0.0
13275,1004.0,31.0,0.0,0.0
13277,896.0,28.0,0.0,0.0
13279,1059.0,6.0,0.0,0.0
13281,0.0,0.0,0.0,0.0
13283,0.0,0.0,0.0,0.0
13285,1808.0,32.0,0.0,15.0
13287,0.0,0.0,0.0,0.0
13289,0.0,0.0,0.0,0.0
13291,0.0,0.0,0.0,0.0
13293,338.0,1.0,0.0,0.0
13295,1588.0,0.0,0.0,0.0
13297,1496.0,6.0,0.0,0.0
13299,1478.0,18.0,0.0,0.0
13301,0.0,0.0,0.0,0.0
13303,591.0,1.0,0.0,0.0
13305,916.0,7.0,0.0,0.0
13307,0.0,0.0,0.0,0.0
13309,0.0,0.0,0.0,0.0
13311,237.0,5.0,0.0,0.0
13313,5239.0,3.0,0.0,0.0
13315,0.0,0.0,0.0,0.0
13317,0.0,0.0,0.0,0.0
13319,0.0,0.0,0.0,0.0
13321,336.0,11.0,0.0,0.0
15001,1000.0,1.0,0.0,0.0
15003,10169.0,0.0,0.0,0.0
15005,0.0,0.0,0.0,0.0
15007,0.0,0.0,0.0,0.0
15009,377.0,0.0,0.0,0.0
16001,17892.0,649.0,0.0,141.0
16003,0.0,0.0,0.0,0.0
16005,2944.0,133.0,0.0,0.0
16007,0.0,0.0,0.0,0.0
16009,0.0,0.0,0.0,0.0
16011,1756.0,111.0,0.0,0.0
16013,904.0,80.0,0.0,0.0
16015,0.0,0.0,0.0,0.0
16017,514.0,15.0,0.0,0.0
16019,5152.0,245.0,0.0,15.0
16021,0.0,0.0,0.0,0.0
16023,0.0,0.0,0.0,0.0
16025,0.0,0.0,0.0,0.0
16027,10892.0,453.0,0.0,57.0
16029,0.0,0.0,0.0,0.0
16031,1533.0,56.0,0.0,0.0
16033,0.0,0.0,0.0,0.0
16035,0.0,0.0,0.0,0.0
16037,0.0,0.0,0.0,0.0
16039,627.0,31.0,0.0,0.0
16041,0.0,0.0,0.0,0.0
16043,0.0,0.0,0.0,0.0
16045,0.0,0.0,0.0,0.0
16047,0.0,0.0,0.0,0.0
16049,0.0,0.0,0.0,0.0
16051,1102.0,47.0,0.0,0.0
16053,1249.0,82.0,0.0,0.0
16055,4651.0,206.0,0.0,26.0
16057,1040.0,13.0,0.0,0.0
16059,0.0,0.0,0.0,0.0
16061,0.0,0.0,0.0,0.0
16063,0.0,0.0,0.0,0.0
16065,2973.0,33.0,0.0,0.0
16067,1271.0,59.0,0.0,0.0
16069,1145.0,28.0,0.0,0.0
16071,0.0,0.0,0.0,0.0
16073,0.0,0.0,0.0,0.0
16075,1152.0,56.0,0.0,0.0
16077,0.0,0.0,0.0,0.0
16079,0.0,0.0,0.0,0.0
16081,0.0,0.0,0.0,0.0
16083,4561.0,297.0,0.0,23.0
16085,0.0,0.0,0.0,0.0
16087,0.0,0.0,0.0,0.0
17001,2877.0,143.0,13.0,31.0
17003,0.0,0.0,0.0,0.0
17005,0.0,0.0,0.0,0.0
17007,2541.0,151.0,27.0,0.0
17009,0.0,0.0,0.0,0.0
17011,1374.0,29.0,5.0,0.0
17013,0.0,0.0,0.0,0.0
17015,0.0,0.0,0.0,0.0
17017,0.0,0.0,0.0,0.0
17019,7236.0,108.0,42.0,11.0
17021,1418.0,25.0,9.0,0.0
17023,0.0,0.0,0.0,0.0
17025,0.0,0.0,0.0,0.0
17027,2480.0,75.0,15.0,0.0
17029,2665.0,149.0,8.0,22.0
17031,236339.0,23217.0,5525.0,7528.0
17033,0.0,0.0,0.0,0.0
17035,0.0,0.0,0.0,0.0
17037,3483.0,241.0,41.0,11.0
17039,0.0,0.0,0.0,0.0
17041,0.0,0.0,0.0,0.0
17043,31744.0,3246.0,699.0,775.0
17045,0.0,0.0,0.0,0.0
17047,0.0,0.0,0.0,0.0
17049,1782.0,26.0,1.0,0.0
17051,879.0,55.0,4.0,0.0
17053,0.0,0.0,0.0,0.0
17055,1314.0,48.0,3.0,0.0
17057,876.0,25.0,3.0,0.0
17059,0.0,0.0,0.0,0.0
17061,0.0,0.0,0.0,0.0
17063,1757.0,60.0,9.0,0.0
17065,0.0,0.0,0.0,0.0
17067,0.0,0.0,0.0,0.0
17069,0.0,0.0,0.0,0.0
17071,0.0,0.0,0.0,0.0
17073,1402.0,32.0,2.0,0.0
17075,1014.0,60.0,12.0,0.0
17077,1677.0,80.0,20.0,13.0
17079,0.0,0.0,0.0,0.0
17081,1347.0,49.0,4.0,11.0
17083,815.0,12.0,2.0,13.0
17085,850.0,43.0,6.0,0.0
