FIPS Code,Social Vulnerability Index (SVI),SVI Category,Percent adults fully vaccinated against COVID-19,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other
5139,0.81,Very High Vulnerability,0.126,0.04,0.0074,0.0065,0.3266,0.0,0.6052,0.01429999999999998
5141,0.72,High Vulnerability,0.162,0.0312,0.0061,0.0022,0.0047,0.0013,0.9347,0.01980000000000004
5143,0.67,High Vulnerability,0.161,0.1678,0.0078,0.0241,0.0358,0.0227,0.7089,0.03289999999999993
5145,0.74,High Vulnerability,0.16,0.0434,0.0058,0.0074,0.0423,0.0,0.8807,0.020399999999999974
5147,0.85,Very High Vulnerability,0.209,0.0046,0.0,0.009,0.2815,0.0,0.6939,0.01100000000000012
5149,0.88,Very High Vulnerability,0.17,0.2015,0.0043,0.0099,0.0207,0.0,0.7527,0.01089999999999991
6001,0.47,Moderate Vulnerability,0.248,0.2239,0.0031,0.2994,0.1033,0.008,0.3141,0.04820000000000002
6003,0.73,High Vulnerability,,0.1251,0.3022,0.0096,0.0087,0.0,0.5303,0.02410000000000001
6005,0.53,Moderate Vulnerability,0.176,0.139,0.0065,0.0124,0.0221,0.0014,0.7816,0.03700000000000003
6007,0.81,Very High Vulnerability,0.214,0.1635,0.0075,0.0445,0.0148,0.0021,0.7198,0.047799999999999954
6009,0.23,Low Vulnerability,0.205,0.1206,0.004,0.015,0.0069,0.0004,0.8094,0.04369999999999996
6011,0.74,High Vulnerability,0.167,0.5937,0.0067,0.0127,0.0119,0.0018,0.3531,0.020099999999999785
6013,0.41,Moderate Vulnerability,0.261,0.2559,0.002,0.1648,0.084,0.0046,0.4383,0.05039999999999989
6015,0.97,Very High Vulnerability,0.129,0.1975,0.0707,0.0314,0.0327,0.0016,0.6193,0.046800000000000064
6017,0.18,Very Low Vulnerability,0.209,0.1283,0.0055,0.045,0.0076,0.0025,0.7782,0.03289999999999993
6019,0.96,Very High Vulnerability,0.184,0.5306,0.0047,0.101,0.0449,0.0012,0.2942,0.023399999999999976
6021,0.89,Very High Vulnerability,0.197,0.4175,0.014,0.0295,0.0069,0.0004,0.5147,0.016999999999999904
6023,0.76,High Vulnerability,0.214,0.1157,0.0461,0.03,0.0098,0.0032,0.7435,0.05169999999999997
6025,1.0,Very High Vulnerability,0.176,0.8421,0.0061,0.0131,0.0215,0.0013,0.1064,0.009500000000000064
6027,0.57,Moderate Vulnerability,,0.2236,0.1017,0.0181,0.0078,0.0019,0.6215,0.025399999999999978
6029,0.97,Very High Vulnerability,0.152,0.5333,0.0048,0.0459,0.0516,0.0013,0.3416,0.021499999999999964
6031,0.97,Very High Vulnerability,0.108,0.5449,0.0085,0.0369,0.0583,0.0016,0.3221,0.027699999999999836
6033,0.92,Very High Vulnerability,0.236,0.206,0.03,0.0107,0.0207,0.0007,0.705,0.026900000000000146
6035,0.6,Moderate Vulnerability,0.131,0.1896,0.0274,0.0139,0.0848,0.008,0.6543,0.02200000000000002
6037,0.77,High Vulnerability,0.191,0.4849,0.0021,0.1443,0.0784,0.0024,0.262,0.025900000000000034
6039,0.95,Very High Vulnerability,0.176,0.5777,0.0099,0.0194,0.0307,0.0009,0.3413,0.020100000000000007
6041,0.27,Low Vulnerability,0.333,0.1598,0.0017,0.0581,0.0213,0.001,0.7115,0.046599999999999975
6043,0.53,Moderate Vulnerability,,0.1127,0.0187,0.0121,0.0145,0.003,0.7999,0.03909999999999991
6045,0.88,Very High Vulnerability,0.281,0.2511,0.0337,0.0203,0.0072,0.0019,0.6519,0.03390000000000004
6047,0.97,Very High Vulnerability,0.127,0.5963,0.0034,0.0724,0.0288,0.0022,0.2765,0.020399999999999974
6049,0.75,High Vulnerability,,0.1449,0.0418,0.0111,0.0153,0.001,0.7769,0.008999999999999897
6051,0.14,Very Low Vulnerability,,0.2701,0.0169,0.0254,0.0041,0.0,0.6505,0.03300000000000003
6053,0.8,High Vulnerability,0.172,0.5867,0.0019,0.0539,0.0248,0.0046,0.2993,0.028799999999999826
6055,0.51,Moderate Vulnerability,0.279,0.3405,0.0029,0.0802,0.0199,0.002,0.5243,0.030200000000000005
6057,0.2,Low Vulnerability,0.207,0.0944,0.0042,0.0105,0.0048,0.0012,0.8516,0.033299999999999996
6059,0.42,Moderate Vulnerability,0.194,0.3405,0.0019,0.2029,0.0162,0.0028,0.4059,0.02980000000000005
6061,0.15,Very Low Vulnerability,0.248,0.14,0.0036,0.0741,0.0165,0.0015,0.7266,0.037699999999999956
6063,0.27,Low Vulnerability,,0.0895,0.0144,0.0114,0.0076,0.0046,0.8314,0.041100000000000025
6065,0.79,High Vulnerability,0.176,0.4891,0.0043,0.0632,0.061,0.0027,0.3532,0.026499999999999968
6067,0.73,High Vulnerability,0.189,0.2318,0.0036,0.1544,0.0949,0.0112,0.4472,0.05689999999999995
6069,0.52,Moderate Vulnerability,0.145,0.5976,0.0031,0.0291,0.0075,0.0006,0.3429,0.019199999999999995
6071,0.9,Very High Vulnerability,0.16,0.5332,0.0036,0.0699,0.0788,0.0029,0.2853,0.02629999999999999
6073,0.56,Moderate Vulnerability,0.179,0.337,0.0038,0.1163,0.0471,0.0038,0.4556,0.03639999999999988
6075,0.39,Low Vulnerability,0.237,0.1524,0.0019,0.3407,0.05,0.0034,0.4051,0.046499999999999986
6077,0.89,Very High Vulnerability,0.168,0.414,0.0023,0.152,0.0674,0.0055,0.3185,0.0403
6079,0.37,Low Vulnerability,0.177,0.2252,0.0054,0.0353,0.0174,0.0009,0.6889,0.026900000000000035
6081,0.26,Low Vulnerability,0.264,0.244,0.0015,0.2831,0.0218,0.0132,0.3924,0.04400000000000004
6083,0.71,High Vulnerability,0.191,0.4537,0.0036,0.0537,0.0189,0.0009,0.4451,0.02410000000000001
