Social Vulnerability Index (SVI),SVI Category,Percent adults fully vaccinated against COVID-19,STNAME,CTYNAME,POPESTIMATE2019,TOT_MALE,TOT_FEMALE,0 - 17 years,18 - 49 years,50 - 64 years,65 + years,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Percent non-Hispanic Other,Latitude,Longitude
0.06,Very Low Concern,0.128,,,,,,,,,,,,,,,,,,
0.6,Moderate Concern,0.124,,,,,,,,,,,,,,,,,,
0.11,Very Low Concern,0.087,,,,,,,,,,,,,,,,,,
0.06,Very Low Concern,0.114,,,,,,,,,,,,,,,,,,
0.32,Low Concern,0.068,,,,,,,,,,,,,,,,,,
0.52,Moderate Concern,0.086,,,,,,,,,,,,,,,,,,
0.45,Moderate Concern,0.087,,,,,,,,,,,,,,,,,,
0.11,Very Low Concern,0.193,,,,,,,,,,,,,,,,,,
0.12,Very Low Concern,0.107,,,,,,,,,,,,,,,,,,
0.84,Very High Concern,0.111,,,,,,,,,,,,,,,,,,
0.49,Moderate Concern,0.097,,,,,,,,,,,,,,,,,,
0.63,High Concern,0.063,,,,,,,,,,,,,,,,,,
0.58,Moderate Concern,0.153,,,,,,,,,,,,,,,,,,
0.03,Very Low Concern,0.142,,,,,,,,,,,,,,,,,,
0.55,Moderate Concern,0.046,,,,,,,,,,,,,,,,,,
0.49,Moderate Concern,0.181,,,,,,,,,,,,,,,,,,
0.72,High Concern,0.199,,,,,,,,,,,,,,,,,,
0.74,High Concern,0.091,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.091,,,,,,,,,,,,,,,,,,
0.02,Very Low Concern,0.234,,,,,,,,,,,,,,,,,,
0.0,Very Low Concern,0.096,,,,,,,,,,,,,,,,,,
0.3,Low Concern,0.065,,,,,,,,,,,,,,,,,,
0.07,Very Low Concern,0.093,,,,,,,,,,,,,,,,,,
0.94,Very High Concern,0.077,,,,,,,,,,,,,,,,,,
0.87,Very High Concern,0.101,,,,,,,,,,,,,,,,,,
0.34,Low Concern,0.07400000000000001,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.146,,,,,,,,,,,,,,,,,,
0.06,Very Low Concern,0.158,,,,,,,,,,,,,,,,,,
0.81,Very High Concern,0.052000000000000005,,,,,,,,,,,,,,,,,,
0.13,Very Low Concern,0.075,,,,,,,,,,,,,,,,,,
0.03,Very Low Concern,0.171,,,,,,,,,,,,,,,,,,
0.69,High Concern,0.107,,,,,,,,,,,,,,,,,,
0.07,Very Low Concern,0.122,,,,,,,,,,,,,,,,,,
0.07,Very Low Concern,0.095,,,,,,,,,,,,,,,,,,
0.28,Low Concern,0.059,,,,,,,,,,,,,,,,,,
0.4,Low Concern,0.081,,,,,,,,,,,,,,,,,,
0.56,Moderate Concern,0.061,,,,,,,,,,,,,,,,,,
0.45,Moderate Concern,0.221,,,,,,,,,,,,,,,,,,
0.51,Moderate Concern,0.248,,,,,,,,,,,,,,,,,,
0.08,Very Low Concern,0.255,,,,,,,,,,,,,,,,,,
0.12,Very Low Concern,0.305,,,,,,,,,,,,,,,,,,
0.52,Moderate Concern,0.259,,,,,,,,,,,,,,,,,,
0.36,Low Concern,0.28300000000000003,,,,,,,,,,,,,,,,,,
0.07,Very Low Concern,0.22,,,,,,,,,,,,,,,,,,
0.42,Moderate Concern,0.222,,,,,,,,,,,,,,,,,,
0.73,High Concern,0.16699999999999998,,,,,,,,,,,,,,,,,,
0.38,Low Concern,0.179,,,,,,,,,,,,,,,,,,
0.4,Moderate Concern,0.255,,,,,,,,,,,,,,,,,,
0.6,Moderate Concern,0.155,,,,,,,,,,,,,,,,,,
0.47,Moderate Concern,0.241,,,,,,,,,,,,,,,,,,
0.68,High Concern,0.122,,,,,,,,,,,,,,,,,,
0.61,High Concern,0.17800000000000002,,,,,,,,,,,,,,,,,,
0.93,Very High Concern,0.132,,,,,,,,,,,,,,,,,,
0.37,Low Concern,0.187,,,,,,,,,,,,,,,,,,
0.58,Moderate Concern,0.183,,,,,,,,,,,,,,,,,,
0.84,Very High Concern,0.16,,,,,,,,,,,,,,,,,,
0.49,Moderate Concern,0.235,,,,,,,,,,,,,,,,,,
0.6,High Concern,0.227,,,,,,,,,,,,,,,,,,
0.38,Low Concern,0.162,,,,,,,,,,,,,,,,,,
0.46,Moderate Concern,0.251,,,,,,,,,,,,,,,,,,
0.86,Very High Concern,0.162,,,,,,,,,,,,,,,,,,
0.96,Very High Concern,0.117,,,,,,,,,,,,,,,,,,
0.9,Very High Concern,0.13699999999999998,,,,,,,,,,,,,,,,,,
0.69,High Concern,0.203,,,,,,,,,,,,,,,,,,
0.49,Moderate Concern,0.189,,,,,,,,,,,,,,,,,,
0.28,Low Concern,0.245,,,,,,,,,,,,,,,,,,
0.81,Very High Concern,0.223,,,,,,,,,,,,,,,,,,
0.99,Very High Concern,0.214,,,,,,,,,,,,,,,,,,
