FIPS Code,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04
05139,0.0,0.0,2.0,9.0,23.0,9.0,9.0,15.0,3.0,5.0,12.0,10.0,6.0,10.0,6.0,1.0
05141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05143,0.0,0.0,1.0,6.0,58.0,196.0,98.0,35.0,70.0,78.0,75.0,97.0,69.0,20.0,14.0,14.0
05145,0.0,0.0,7.0,0.0,0.0,5.0,27.0,15.0,12.0,24.0,34.0,28.0,20.0,13.0,8.0,4.0
05147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05149,0.0,0.0,0.0,0.0,7.0,37.0,29.0,12.0,1.0,5.0,18.0,29.0,21.0,6.0,1.0,0.0
06001,0.0,4.0,144.0,216.0,199.0,233.0,334.0,288.0,153.0,120.0,308.0,540.0,516.0,233.0,146.0,39.0
06003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06005,0.0,0.0,0.0,0.0,0.0,2.0,11.0,6.0,1.0,7.0,18.0,47.0,17.0,9.0,8.0,0.0
06007,0.0,0.0,5.0,0.0,15.0,16.0,44.0,42.0,31.0,19.0,81.0,96.0,77.0,27.0,25.0,9.0
06009,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
06011,0.0,0.0,0.0,0.0,0.0,5.0,19.0,2.0,1.0,2.0,6.0,21.0,20.0,6.0,1.0,2.0
06013,0.0,9.0,91.0,84.0,82.0,153.0,424.0,315.0,206.0,208.0,493.0,837.0,800.0,273.0,94.0,44.0
06015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0
06017,0.0,0.0,3.0,3.0,9.0,5.0,18.0,10.0,11.0,16.0,59.0,81.0,43.0,18.0,11.0,1.0
06019,0.0,0.0,53.0,108.0,162.0,309.0,551.0,262.0,132.0,144.0,456.0,702.0,638.0,229.0,147.0,42.0
06021,0.0,0.0,0.0,0.0,2.0,11.0,21.0,2.0,5.0,5.0,36.0,31.0,16.0,11.0,0.0,0.0
06023,0.0,0.0,3.0,0.0,9.0,4.0,2.0,6.0,4.0,7.0,16.0,27.0,39.0,20.0,13.0,2.0
06025,0.0,0.0,27.0,81.0,313.0,384.0,183.0,83.0,60.0,97.0,186.0,350.0,138.0,21.0,21.0,8.0
06027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06029,0.0,0.0,46.0,114.0,178.0,498.0,870.0,389.0,189.0,190.0,555.0,1390.0,1122.0,452.0,179.0,43.0
06031,0.0,0.0,0.0,10.0,37.0,85.0,102.0,62.0,33.0,19.0,65.0,141.0,160.0,40.0,21.0,4.0
06033,0.0,0.0,0.0,0.0,1.0,6.0,10.0,9.0,9.0,8.0,21.0,51.0,38.0,7.0,13.0,0.0
