,Patients,Hospitalized,ICU,Death
13153,2944.0,5.0,0.0,0.0
13155,0.0,0.0,0.0,0.0
13157,1015.0,3.0,0.0,0.0
13159,0.0,0.0,0.0,0.0
13161,0.0,0.0,0.0,0.0
13163,0.0,0.0,0.0,0.0
13165,0.0,0.0,0.0,0.0
13167,0.0,0.0,0.0,0.0
13169,380.0,0.0,0.0,0.0
13171,0.0,0.0,0.0,0.0
13173,0.0,0.0,0.0,0.0
13175,1460.0,4.0,0.0,0.0
13177,404.0,7.0,0.0,0.0
13179,707.0,1.0,0.0,0.0
13181,0.0,0.0,0.0,0.0
13183,0.0,0.0,0.0,0.0
13185,2421.0,12.0,0.0,0.0
13187,0.0,0.0,0.0,0.0
13189,222.0,1.0,0.0,0.0
13191,0.0,0.0,0.0,0.0
13193,0.0,0.0,0.0,0.0
13195,548.0,3.0,0.0,0.0
13197,0.0,0.0,0.0,0.0
13199,203.0,4.0,0.0,0.0
13201,0.0,0.0,0.0,0.0
13205,436.0,7.0,0.0,0.0
13207,463.0,3.0,0.0,0.0
13209,0.0,0.0,0.0,0.0
13211,0.0,0.0,0.0,0.0
13213,734.0,0.0,0.0,0.0
13215,3550.0,15.0,0.0,11.0
13217,1696.0,8.0,0.0,0.0
13219,584.0,2.0,0.0,0.0
13221,0.0,0.0,0.0,0.0
13223,1889.0,2.0,0.0,0.0
13225,502.0,1.0,0.0,0.0
13227,511.0,5.0,0.0,0.0
13229,0.0,0.0,0.0,0.0
13231,0.0,0.0,0.0,0.0
13233,1078.0,0.0,0.0,0.0
13235,0.0,0.0,0.0,0.0
13237,493.0,1.0,0.0,0.0
13239,0.0,0.0,0.0,0.0
13241,0.0,0.0,0.0,0.0
13243,0.0,0.0,0.0,0.0
13245,4363.0,11.0,0.0,0.0
13247,1318.0,4.0,0.0,0.0
13249,0.0,0.0,0.0,0.0
13251,0.0,0.0,0.0,0.0
13253,0.0,0.0,0.0,0.0
13255,792.0,3.0,0.0,0.0
13257,0.0,0.0,0.0,0.0
13259,0.0,0.0,0.0,0.0
13261,398.0,6.0,0.0,0.0
13263,0.0,0.0,0.0,0.0
13265,0.0,0.0,0.0,0.0
13267,561.0,3.0,0.0,0.0
13269,0.0,0.0,0.0,0.0
13271,0.0,0.0,0.0,0.0
13273,0.0,0.0,0.0,0.0
13275,905.0,22.0,0.0,0.0
13277,745.0,12.0,0.0,0.0
13279,923.0,4.0,0.0,0.0
13281,0.0,0.0,0.0,0.0
13283,0.0,0.0,0.0,0.0
13285,1545.0,7.0,0.0,15.0
13287,0.0,0.0,0.0,0.0
13289,0.0,0.0,0.0,0.0
13291,0.0,0.0,0.0,0.0
13293,319.0,0.0,0.0,0.0
13295,1241.0,0.0,0.0,0.0
13297,1199.0,1.0,0.0,0.0
13299,1161.0,18.0,0.0,0.0
13301,0.0,0.0,0.0,0.0
13303,453.0,0.0,0.0,0.0
13305,775.0,0.0,0.0,0.0
13307,0.0,0.0,0.0,0.0
13309,0.0,0.0,0.0,0.0
13311,202.0,4.0,0.0,0.0
13313,4232.0,2.0,0.0,0.0
13315,0.0,0.0,0.0,0.0
13317,0.0,0.0,0.0,0.0
13319,0.0,0.0,0.0,0.0
13321,272.0,6.0,0.0,0.0
15001,495.0,1.0,0.0,0.0
15003,5710.0,0.0,0.0,0.0
15005,0.0,0.0,0.0,0.0
15007,0.0,0.0,0.0,0.0
15009,243.0,0.0,0.0,0.0
16001,13447.0,504.0,0.0,96.0
16003,0.0,0.0,0.0,0.0
